Event,B/S,Symbol,Price,Time
Execute,Buy,TSLA,319.26,09:38:38
Execute,Buy,TSLA,319.26,09:38:38
Execute,Buy,TSLA,319.26,09:38:38
Execute,Buy,TSLA,319.26,09:38:33
Execute,Buy,TSLA,319.26,09:38:33
Execute,Buy,TSLA,322.01,09:36:38
Execute,Buy,TSLA,322.01,09:36:38
Execute,Buy,TSLA,322.01,09:36:38
Execute,Buy,TSLA,322.01,09:36:38
Execute,Buy,TSLA,322.01,09:36:38
Execute,Buy,TSLA,322.01,09:36:38
Accept,Buy,TSLA,322.01,09:35:39
Sending,Buy,TSLA,322.01,09:35:39
Canceled,Buy,TSLA,321.01,09:35:33
Canceling,Buy,TSLA,321.01,09:35:33
Send_Rej,Buy,TSLA,322.01,09:35:27
Accept,Buy,TSLA,321.01,09:35:10
Sending,Buy,TSLA,321.01,09:35:09
Execute,Shrt,TSLA,324.62,09:34:58
Execute,Shrt,TSLA,324.62,09:34:58
Replaced,Shrt,TSLA,323.74,09:34:58
Replacing,Shrt,TSLA,323.74,09:34:58
Accept,Shrt,TSLA,324.8,09:34:57
Sending,Shrt,TSLA,324.8,09:34:57
